Free, Chunks, Min, Max
1024, 1, 1024, 1024
1008, 1, 17, 991
976, 1, 17, 959
968, 1, 17, 951
920, 1, 17, 903
848, 1, 17, 831
847, 1, 17, 830
893, 2, 17, 828
889, 2, 17, 824
957, 2, 17, 820
829, 2, 17, 692
797, 2, 17, 660
765, 3, 17, 596
717, 3, 17, 548
701, 3, 17, 532
681, 4, 4, 508
673, 4, 4, 500
669, 4, 4, 496
605, 4, 4, 432
477, 4, 17, 176
461, 5, 16, 144
429, 5, 16, 132
397, 5, 16, 164
333, 5, 16, 120
301, 5, 16, 120
381, 7, 16, 120
365, 7, 16, 120
349, 7, 16, 120
333, 7, 16, 120
317, 7, 16, 120
301, 6, 16, 120
269, 6, 16, 120
237, 6, 16, 64
221, 6, 16, 56
461, 6, 16, 288
397, 6, 16, 224
381, 6, 16, 208
365, 6, 16, 192
349, 6, 16, 176
557, 7, 16, 304
337, 8, 4, 80
385, 7, 4, 164
