Free, Chunks, Min, Max
1024, 1, 1024, 1024
1008, 1, 1008, 1008
976, 1, 976, 976
968, 1, 968, 968
920, 1, 920, 920
848, 1, 848, 848
847, 1, 847, 847
845, 1, 845, 845
893, 2, 48, 845
889, 2, 44, 845
885, 2, 40, 845
957, 2, 112, 845
829, 2, 112, 717
797, 2, 80, 717
733, 2, 16, 717
765, 3, 16, 717
717, 3, 16, 669
701, 3, 16, 669
677, 3, 16, 645
681, 4, 4, 645
673, 4, 4, 645
669, 4, 4, 645
605, 4, 4, 581
349, 4, 4, 325
477, 5, 4, 325
445, 5, 4, 325
461, 6, 4, 325
429, 6, 4, 325
365, 5, 4, 325
397, 5, 4, 325
333, 5, 4, 261
301, 5, 4, 261
253, 5, 4, 213
317, 6, 4, 213
189, 6, 4, 85
253, 7, 4, 85
237, 6, 4, 85
221, 5, 4, 85
205, 5, 4, 85
189, 5, 4, 85
173, 5, 4, 85
141, 5, 4, 85
77, 5, 4, 32
109, 5, 4, 64
93, 4, 4, 64
77, 4, 4, 48
333, 4, 4, 304
269, 4, 4, 240
253, 4, 4, 224
237, 4, 4, 208
221, 4, 4, 192
93, 4, 4, 64
109, 5, 4, 64
237, 5, 4, 192
253, 5, 4, 208
269, 4, 4, 240
333, 4, 4, 304
349, 4, 4, 320
365, 5, 4, 320
381, 5, 4, 320
397, 5, 4, 320
413, 6, 4, 320
429, 7, 4, 320
173, 7, 4, 64
301, 8, 4, 128
305, 8, 4, 128
337, 9, 4, 128
273, 8, 4, 128
321, 8, 4, 176
385, 8, 4, 240
353, 7, 4, 240
401, 8, 4, 240
433, 9, 4, 240
497, 9, 4, 304
753, 9, 4, 560
817, 8, 4, 645
833, 7, 4, 645
897, 6, 8, 645
905, 5, 32, 645
929, 4, 32, 781
961, 4, 32, 781
993, 3, 32, 845
997, 3, 32, 845
999, 3, 32, 847
1000, 2, 32, 968
1008, 1, 1008, 1008
845, 1, 17, 828
885, 2, 17, 820
733, 2, 17, 596
677, 3, 17, 508
349, 4, 4, 176
445, 4, 17, 144
365, 5, 16, 132
253, 5, 16, 120
317, 6, 16, 120
205, 6, 16, 56
205, 6, 16, 56
221, 6, 16, 56
237, 7, 16, 56
365, 7, 16, 176
381, 7, 16, 192
397, 6, 16, 224
461, 6, 16, 288
477, 6, 16, 304
493, 7, 16, 304
509, 7, 16, 304
525, 7, 16, 304
541, 7, 16, 304
301, 7, 16, 64
305, 8, 4, 64
273, 7, 4, 80
321, 7, 4, 100
353, 7, 4, 164
401, 7, 4, 164
433, 7, 4, 164
497, 8, 4, 164
753, 8, 4, 336
817, 8, 4, 336
833, 7, 16, 356
897, 6, 16, 356
905, 6, 16, 364
929, 5, 16, 680
961, 4, 17, 680
993, 3, 17, 824
997, 3, 17, 828
999, 3, 17, 830
1000, 2, 17, 951
1008, 1, 17, 991
