Free, Chunks, Min, Max
1024, 1, 1024, 1024
1008, 1, 1008, 1008
976, 1, 976, 976
968, 1, 968, 968
920, 1, 920, 920
848, 1, 848, 848
847, 1, 847, 847
845, 1, 845, 845
893, 2, 48, 845
889, 2, 48, 841
885, 2, 48, 837
957, 2, 120, 837
829, 2, 120, 709
797, 2, 120, 677
733, 2, 120, 613
765, 3, 32, 613
717, 3, 32, 565
701, 3, 32, 549
677, 3, 32, 525
681, 4, 4, 525
673, 4, 4, 517
669, 4, 4, 513
605, 4, 4, 449
349, 4, 4, 193
477, 4, 32, 193
445, 4, 32, 161
461, 5, 16, 161
429, 5, 16, 132
365, 5, 16, 132
397, 5, 16, 164
333, 5, 1, 164
301, 4, 1, 164
253, 4, 1, 164
317, 5, 1, 164
189, 5, 1, 72
253, 6, 1, 72
237, 6, 1, 72
221, 6, 1, 72
205, 5, 1, 72
189, 5, 1, 72
173, 5, 1, 72
141, 4, 1, 72
77, 3, 1, 72
109, 4, 1, 72
93, 4, 1, 56
77, 4, 1, 40
333, 4, 1, 288
269, 4, 1, 224
253, 4, 1, 208
237, 4, 1, 192
221, 4, 1, 176
93, 4, 1, 48
109, 5, 1, 48
237, 5, 1, 176
253, 5, 1, 192
269, 4, 1, 224
333, 4, 1, 288
349, 4, 1, 288
365, 4, 1, 304
381, 4, 1, 320
397, 5, 1, 320
413, 5, 1, 320
429, 5, 1, 320
173, 5, 1, 64
301, 5, 1, 164
305, 6, 1, 164
337, 6, 1, 164
273, 6, 1, 164
321, 7, 1, 164
385, 7, 4, 164
353, 6, 4, 164
401, 6, 4, 164
433, 7, 4, 164
497, 7, 4, 164
753, 6, 48, 356
817, 6, 48, 356
833, 5, 64, 356
897, 4, 120, 356
905, 4, 120, 364
929, 3, 120, 680
961, 4, 32, 680
993, 3, 32, 841
997, 3, 32, 845
999, 3, 32, 847
1000, 2, 32, 968
1008, 1, 1008, 1008
